gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	DEG
Dkk3	-6.82805087725334	4.91902233154297	-19.6288547576782	8.81525020963113e-28	9.61927275963295e-24	52.9202954372498	Yes
Cilp2	-7.2353491418312	1.03706654308852	-19.4910979569025	1.27087762711494e-27	9.61927275963295e-24	52.561485480093	Yes
Plekha7	-4.55051043160485	2.40239230389997	-18.6998170491119	1.07851228535454e-26	4.36369748651748e-23	50.4614058304682	Yes
Myl4	-8.55445507396721	5.80266320280105	-18.6576398597342	1.21092029855547e-26	4.36369748651748e-23	50.3475665296725	Yes
Mybphl	-8.20267560956466	2.68956113233545	-18.5943297807915	1.44130581533805e-26	4.36369748651748e-23	50.1763214092086	Yes
Cacna2d3	-3.89284424771494	0.212828644754939	-18.5056596138319	1.84078884663446e-26	4.64431026005875e-23	49.9357384632636	Yes
Pdk3	-2.78843081351018	1.6078528683525	-18.3841763405071	2.57724658154989e-26	5.57347982164317e-23	49.6047131028949	Yes
Gpx3	-2.87269054495584	8.42857656658749	-18.2890830149423	3.35764509128542e-26	6.35350392398483e-23	49.3444511492852	Yes
Myl7	-8.65460426616828	4.82885469757364	-18.2029308305124	4.27046019632393e-26	7.18291405021685e-23	49.1077872704975	Yes
AC166328.1	-3.93091064545414	2.35138161558557	-18.1525896391552	4.91656855864086e-26	7.27835956626699e-23	48.9691121048447	Yes
Fgf12	-7.71354415397603	0.74832738377524	-18.1265507448185	5.28880666065113e-26	7.27835956626699e-23	48.8972706781218	Yes
Tmem163	-8.34805872721	0.419197637032815	-17.8512704324134	1.14918933480203e-25	1.44970234585276e-22	48.1330752228904	Yes
Sytl2	-4.56292525426496	1.17723627118623	-17.74820631049	1.53992675663913e-25	1.79318548015409e-22	47.8447404451946	Yes
Fam114a1	-1.90392908558311	3.80540925230246	-17.689503783208	1.82022194321746e-25	1.96817998403042e-22	47.6799677108121	Yes
Sphkap	-6.45781320390433	-1.24395227289323	-17.6262575100122	2.18049368578298e-25	2.20055422769219e-22	47.5019967662436	Yes
Olfm1	-2.90846170347667	2.7595860771797	-17.5572014643964	2.65711056430181e-25	2.51395873265005e-22	47.3071495511837	Yes
RP23-378D16.4	-6.51269686817098	-1.52892575705518	-17.4832160494649	3.28585448927784e-25	2.92595677992282e-22	47.0977801596306	Yes
RP23-27B23.7	-5.89071694859439	-2.06049057253738	-17.4190086743801	3.95286059196633e-25	3.32435575784368e-22	46.9155652679285	Yes
Stard10	-3.67248876491608	5.55684924672924	-17.2647802575153	6.17342905045708e-25	4.80743792674223e-22	46.475909917985	Yes
Plppr5	-5.49943732770349	-2.00473340535716	-17.2549749063538	6.35148358665904e-25	4.80743792674223e-22	46.447863707685	Yes
Mbp	-2.33107904210459	2.48094749217215	-17.197925362631	7.4957671401385e-25	5.4033772841627e-22	46.2844606641974	Yes
Slc2a10	-2.29665620242476	1.12008635679238	-17.1795910706974	7.90624063878202e-25	5.44021230863101e-22	46.2318655875696	Yes
Fras1	-4.02805985364298	0.780541477447112	-17.113157123328	9.59414985905157e-25	6.31461915505751e-22	46.0409558100244	Yes
Sln	-9.01310732812627	3.58009635479107	-17.0427852088593	1.1783163910725e-24	7.43223063668977e-22	45.8381597285111	Yes
Tcaf1	-1.4346008895604	3.73800622910345	-17.0233376813762	1.24730075427946e-24	7.55265552731298e-22	45.7820126748215	Yes
Eef1a1	-1.30647588630497	9.88297730317295	-16.9696393207894	1.45980758712973e-24	8.244814969169e-22	45.6267463195931	Yes
Ptgfr	-3.51025985104414	3.33348974349606	-16.967142354471	1.4705377471764e-24	8.244814969169e-22	45.6195181027455	Yes
Scrn1	-2.39503371888769	3.49020710375524	-16.9283363874116	1.64795710104367e-24	8.70395001569317e-22	45.507087061216	Yes
Nppa	-5.9533066961989	9.01286916311078	-16.924339103012	1.66742337465386e-24	8.70395001569317e-22	45.4954956758152	Yes
Mlana	-7.31217520655692	-0.800181185386938	-16.6943328835991	3.28735974827913e-24	1.61801314499196e-21	44.8252965294217	Yes
Slc7a7	-3.63288725819046	2.05260533845987	-16.691670452659	3.313410456781e-24	1.61801314499196e-21	44.8175014255348	Yes
Tbc1d1	-3.24402115690363	4.84607425885753	-16.6284549703341	3.99735858775761e-24	1.86079986039442e-21	44.6321668481944	Yes
Cpne5	-6.40399164383595	-0.973336632013001	-16.6235189862405	4.05644044081225e-24	1.86079986039442e-21	44.6176752492024	Yes
Creb3l2	-1.87300812205652	5.76451630268832	-16.5207530322772	5.50919868879609e-24	2.45288969855868e-21	44.3152933966246	Yes
Gng2	-3.10430704297265	3.30548344584898	-16.4353166234902	7.11248465914785e-24	3.07625122200515e-21	44.0629259828954	Yes
Lmntd1	-7.35991333330452	0.675744937451473	-16.3922807893045	8.09172265734753e-24	3.40256937741464e-21	43.9354671578749	Yes
Rxfp1	-6.9468542976774	0.103771826763738	-16.3607434966279	8.89514507190336e-24	3.6006543295144e-21	43.8419198374481	Yes
Lgi2	-1.91308417060954	1.82547346117425	-16.3468388529997	9.27460219123565e-24	3.6006543295144e-21	43.8006366331984	Yes
Gnao1	-2.1573539778184	4.95051508115876	-16.3467758354062	9.27635875618057e-24	3.6006543295144e-21	43.8004494786755	Yes
RP23-135A22.4	-4.57567202346769	-0.560596754975175	-16.2844139853705	1.11909479424057e-23	4.23521424880343e-21	43.6150040223867	Yes
Lgals3	-3.27153091865851	2.22571862526353	-16.225194618041	1.33793355739056e-23	4.93991175409228e-21	43.4384617014455	Yes
RP23-373I18.3	-4.46912787070411	-3.19435097172862	-16.1243067240814	1.8155023414818e-23	6.36866712173777e-21	43.1367050766205	Yes
Rab11fip1	-2.60288089275447	0.849840648963758	-16.1226117355926	1.82485532268882e-23	6.36866712173777e-21	43.1316246294765	Yes
Smim1	-2.24115366207449	2.37127195821491	-16.1178999800335	1.85111212416741e-23	6.36866712173777e-21	43.1175000590095	Yes
Igfbp5	-1.94589178962486	7.39594192073165	-15.9497179033668	3.08775217436216e-23	1.03553176664706e-20	42.6115361561079	Yes
Igfbp4	-1.40997361325208	6.47642040471531	-15.9435250433518	3.14668128324514e-23	1.03553176664706e-20	42.5928383920287	Yes
Epyc	-5.61366776163254	-1.95313534609287	-15.9359483154707	3.22033080508107e-23	1.03722058994292e-20	42.569955905086	Yes
Apoe	-1.34689209480503	8.09456272907805	-15.9174868339549	3.40718203021449e-23	1.07454003277889e-20	42.5141704599279	Yes
Slit3	-2.00727568951131	4.18748986065811	-15.8839390713772	3.77530691677404e-23	1.16633869604337e-20	42.4126898832595	Yes
Tpm2	-2.52423847751806	5.24607739377717	-15.7052337451801	6.5357264164162e-23	1.97875652983417e-20	41.8697461127716	Yes
Sbk3	-5.68495244086564	3.8850304171051	-15.6906074817685	6.83715228287074e-23	2.0294276717274e-20	41.8251315024183	Yes
Peg3	-2.61964067254223	4.06921641101182	-15.6152883927498	8.62758868715926e-23	2.51162379896571e-20	41.5949596688848	Yes
Athl1	-1.65527830077072	2.04027087178213	-15.5386886952344	1.09377504074296e-22	3.12406916354093e-20	41.3601422021964	Yes
Mdfi	-3.16564800263968	0.0501192655388997	-15.5287428750513	1.12805283621326e-22	3.16230811751783e-20	41.3295988912272	Yes
Cacna2d2	-4.64019538303976	2.5227271287195	-15.5061913049023	1.20986192361128e-22	3.32997996356864e-20	41.2602974532961	Yes
Mrvi1	-2.17278158967021	4.27948517744458	-15.4547630684355	1.4196375954761e-22	3.83758462862808e-20	41.1020170816634	Yes
Camk1d	-2.91112960056997	2.54433392219567	-15.4204343965035	1.57982271061519e-22	4.19567652513907e-20	40.9961777396317	Yes
Trnp1	-2.17372449444163	1.1589144930411	-15.3929201280845	1.72134400986708e-22	4.49270786575309e-20	40.9112402521785	Yes
Slc22a17	-1.73217183504571	2.19280329547107	-15.3806084366801	1.78876372160417e-22	4.58954325722779e-20	40.873202563908	Yes
Pam	-2.50051274077278	10.126477504544	-15.3745478947716	1.82292765666096e-22	4.59924647775561e-20	40.8544711059949	Yes
Sertad4	-1.88725348552439	2.6457977945935	-15.3686064805994	1.85706148247292e-22	4.60855683961886e-20	40.8361033160989	Yes
Cacna1h	-3.94200450647243	3.92443248668022	-15.2928440646368	2.35357878062693e-22	5.69104273946824e-20	40.6014919962564	Yes
Rpl3	-0.992301709074715	7.223168482963	-15.2908333638109	2.36844822688928e-22	5.69104273946824e-20	40.5952555794549	No
Ninl	-1.56645412242561	1.58999137150057	-15.2007346764888	3.14229443443331e-22	7.43250830444555e-20	40.3152760101727	Yes
Mdk	-2.28603900221614	0.342455664991655	-15.1377493989674	3.83123572278535e-22	8.92265328792687e-20	40.118935991142	Yes
Armcx3	-1.1290190683031	4.63296779040008	-15.1308291445889	3.9157130634742e-22	8.98122187195037e-20	40.0973330273424	Yes
Podn	-2.83237241396494	5.12485649434154	-15.1001021430467	4.31418740783378e-22	9.74748790743101e-20	40.0013385758055	Yes
Kazald1	-1.84516070402559	1.75089437726859	-15.0489591984287	5.07065796280075e-22	1.12881794471879e-19	39.8412946430136	Yes
RP23-128E8.3	-5.35041240148563	0.0208629572280316	-15.0331820267591	5.33013410875028e-22	1.16938507446756e-19	39.7918548119437	Yes
Sort1	-1.81826037150285	6.04669829624518	-15.0023797054373	5.8761291561123e-22	1.2707549023604e-19	39.695239742717	Yes
Igfbpl1	-4.55677416495981	-1.13284531535003	-14.9626638023822	6.66463257455443e-22	1.42097475934655e-19	39.5704865183985	Yes
Sfrp5	-4.83487657487543	0.976504396215259	-14.9497456747747	6.94354965061138e-22	1.45988131404104e-19	39.529865214623	Yes
Rab33a	-4.53829839945044	-2.46085174679896	-14.9095399424351	7.88961233486917e-22	1.63606782911301e-19	39.4033002638887	Yes
Cacna1d	-2.73400090675252	1.56917984119861	-14.8995012219637	8.14554760918839e-22	1.66631486091749e-19	39.3716666161759	Yes
Gucy1a3	-1.6888799191387	4.86558040006802	-14.8923982889325	8.33169844606764e-22	1.68167001435429e-19	39.3492762821194	Yes
Opcml	-2.47380711283614	1.46108573541611	-14.8700678468255	8.94545786686958e-22	1.78179396300884e-19	39.2788424958732	Yes
Sds	-6.18711225751189	-0.460553885747758	-14.8612044117811	9.20158502971375e-22	1.80900771662087e-19	39.2508680066338	Yes
Myl1	-2.74703959664427	5.05614786892254	-14.8335963735526	1.00479593230376e-21	1.95007702861722e-19	39.163667554219	Yes
Fkbp7	-1.04161831768288	3.60348508002098	-14.8104457172845	1.08181998448302e-21	2.07298619305114e-19	39.0904700980713	Yes
Fbln1	-1.38913645860314	6.35474911798752	-14.7903732162134	1.1534283536581e-21	2.18257480220953e-19	39.0269491753302	Yes
Evc	-1.26426263023277	2.92528924720435	-14.7532136944431	1.29891119965345e-21	2.42752070868567e-19	38.9092178886004	Yes
Nphp4	-2.75684116715991	-0.239003736699246	-14.7415806554018	1.34817140298242e-21	2.48885593882292e-19	38.8723246716689	Yes
Ptk2b	-1.87742254234377	3.16250512557773	-14.6689430952185	1.70157488095927e-21	3.10342657204354e-19	38.6415651190496	Yes
Gltp	-1.319624446618	4.04007843636456	-14.6191248370584	1.99691867570709e-21	3.56805138261236e-19	38.4829047016045	Yes
Tmem51	-2.15271540003442	1.39119068790247	-14.6181072930861	2.00346391545812e-21	3.56805138261236e-19	38.4796606937142	Yes
Wisp1	-4.21550311352079	0.419955559746672	-14.6001256966064	2.12277869839793e-21	3.7365841786451e-19	38.4223118568187	Yes
Timp2	-1.13380644246818	6.83649442000351	-14.5929096929926	2.17265917789116e-21	3.78042696953062e-19	38.399286021185	Yes
Fgl2	-1.70444416396853	5.83937609028053	-14.5841432572602	2.23485618684875e-21	3.84446056324049e-19	38.3713037678142	Yes
Bmp3	-6.62442184118882	-0.848555065679133	-14.5501862852395	2.49327808314439e-21	4.24081389018425e-19	38.262819853613	Yes
Gas1	-0.98276341088043	4.76998087288799	-14.4885061769884	3.04263770119396e-21	5.11771661340824e-19	38.0653847553699	No
Fcamr	-4.97797291207671	-2.78573519343073	-14.4612665288842	3.32283105591245e-21	5.5183700209644e-19	37.9780346174126	Yes
Rab3b	-4.65883350130398	-0.151866259510441	-14.4584046336541	3.35374581799924e-21	5.5183700209644e-19	37.9688516994337	Yes
Ppp1r1b	-5.44708750685842	0.196567864272389	-14.4495914860292	3.45078792078269e-21	5.58997336254391e-19	37.9405664029447	Yes
Tmem176b	-1.35872592393016	4.40136567737704	-14.4477771585391	3.47111570933497e-21	5.58997336254391e-19	37.9347421683624	Yes
Ccdc80	-1.36073729693925	6.36391411440876	-14.4381769786318	3.58071122440051e-21	5.70576910683947e-19	37.9039171778509	Yes
Cntf	-4.21287212706196	-0.107293398818674	-14.4212818569864	3.78216304177319e-21	5.9639983464961e-19	37.8496399184754	Yes
Ddr1	-1.19037701046935	4.47218292499835	-14.3809031488855	4.31137032124848e-21	6.68486860913799e-19	37.719768827424	Yes
Gas6	-0.667582197737786	6.91043978549314	-14.3797432248086	4.32763326526306e-21	6.68486860913799e-19	37.7160349972138	No
Cml3	-5.10384114835131	0.0532785643548538	-14.3733749152615	4.41803395493118e-21	6.75557555654023e-19	37.6955320972228	Yes
Maoa	-1.28261989561501	2.39894660633816	-14.3671804428488	4.50780055873424e-21	6.82390848581189e-19	37.6755838019942	Yes
Bdh2	-2.5553192508827	-0.86208050211706	-14.3486195823328	4.78798109064479e-21	7.17628294556246e-19	37.6157816307812	Yes
Nap1l5	-2.52122804710708	0.670481432336308	-14.338859326386	4.94232015337741e-21	7.33498455704188e-19	37.5843165634565	Yes
Ptpn13	-1.44156086444138	2.73618679500108	-14.3135874198421	5.36576034567928e-21	7.88610486532941e-19	37.5027874165479	Yes
Stk32b	-2.86345686943992	-0.0139625820124083	-14.2929894068422	5.73792741582912e-21	8.35199473277128e-19	37.4362750241348	Yes
Synm	-1.15410075982967	3.88326538943496	-14.278694604555	6.01146546436159e-21	8.66681563804817e-19	37.3900836033566	Yes
Mt3	-3.60811630161361	0.0681937839980486	-14.2519626022891	6.55892805810391e-21	9.36689178712991e-19	37.3036317676103	Yes
Selm	-1.19430891194816	3.73459076936319	-14.2179035786694	7.33022696449365e-21	1.0370558484907e-18	37.1933490682842	Yes
Rps6ka6	-4.39903185987354	-1.15204107681031	-14.2055449479852	7.63226979304717e-21	1.06978981599211e-18	37.1532945192811	Yes
Lingo1	-3.54939265052658	-0.145358117654077	-14.2013780617584	7.73692199523081e-21	1.07450940517251e-18	37.1397850672719	Yes
Uts2b	-5.15355185137234	-2.78718972240277	-14.1958958334436	7.87682478306996e-21	1.07534267737493e-18	37.1220076925655	Yes
Ncam1	-2.47248785924052	1.7826458709107	-14.1955787711792	7.88499386897984e-21	1.07534267737493e-18	37.1209794258063	Yes
Comp	-3.5147563014988	2.05360345084054	-14.1899943062019	8.03029074312352e-21	1.08537983276253e-18	37.1028662570167	Yes
Epha3	-4.22837712062622	-2.04130191770094	-14.1760961106923	8.40376874302211e-21	1.12580753302539e-18	37.0577698775378	Yes
Ngfrap1	-1.54964651934169	1.44493903732565	-14.1416485895401	9.40705735051864e-21	1.24915819449255e-18	36.9458869288095	Yes
Alox8	-5.59423341756866	-2.50473149976466	-14.1266574371952	9.88074330308029e-21	1.3006494967133e-18	36.8971483469897	Yes
Armcx2	-0.969705559815776	2.83181918514359	-14.1173318521811	1.01875160411291e-20	1.32947084336735e-18	36.8668145821278	No
Stxbp1	-0.966382719275909	3.66564741981555	-14.0948749729052	1.09664061793771e-20	1.41888424567018e-18	36.7937213608919	No
