pathway	p.val	set.size
MENON_FETAL_KIDNEY_7_LOOPOF_HENLE_CELLS_DISTAL	2.89053509550482e-73	219
ZHONG_PFC_C1_MICROGLIA	2.13470552571828e-25	219
LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB	6.35260942744586e-22	299
LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA	1.08281680882977e-19	263
MANNO_MIDBRAIN_NEUROTYPES_BASAL	2.8153752953656e-17	68
MENON_FETAL_KIDNEY_8_CONNECTING_TUBULE_CELLS	2.58209217785725e-15	220
LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB	6.11250027415509e-10	295
AIZARANI_LIVER_C20_LSECS_3	7.46058389698311e-08	267
HAY_BONE_MARROW_PRO_B	1.72030326203035e-07	237
CUI_DEVELOPING_HEART_COMPACT_ATRIAL_CARDIOMYOCYTE	4.59458575151819e-07	11
MURARO_PANCREAS_ENDOTHELIAL_CELL	6.09113855255272e-07	331
LAKE_ADULT_KIDNEY_C22_ENDOTHELIAL_CELLS_GLOMERULAR_CAPILLARIES	2.24348212956188e-05	132
CUI_DEVELOPING_HEART_C2_CARDIOMYOCYTE	3.4408622055427e-05	85
AIZARANI_LIVER_C9_LSECS_1	0.000121866380973375	278
ZHONG_PFC_C4_UNKNOWN_INP	0.00045137280289443	66
FAN_EMBRYONIC_CTX_NSC_2	0.000513798593164094	175
CUI_DEVELOPING_HEART_CORONARY_VASCULAR_ENDOTHELIAL_CELL	0.000555706368413875	35
HAY_BONE_MARROW_CD34_POS_PRE_PC	0.00114434941076443	76
LAKE_ADULT_KIDNEY_C25_ENDOTHELIAL_CELLS_UNASSIGNED	0.00130980551108875	36
HAY_BONE_MARROW_EARLY_ERYTHROBLAST	0.00280165361070266	75
