pathway	p.val	set.size
CUI_DEVELOPING_HEART_C6_EPICARDIAL_CELL	3.25524192401377e-183	161
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_FIBROBLASTS_STROMAL_CELLS	4.81661826424275e-118	73
HU_FETAL_RETINA_FIBROBLAST	9.05019776133612e-106	344
CUI_DEVELOPING_HEART_C3_FIBROBLAST_LIKE_CELL	7.67555800955747e-102	107
GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS	2.37481154070389e-97	427
CUI_DEVELOPING_HEART_SMOOTH_MUSCLE_CELL	7.82768514972766e-97	42
MANNO_MIDBRAIN_NEUROTYPES_HRGL3	7.86720816806836e-89	432
CUI_DEVELOPING_HEART_C5_VALVAR_CELL	6.56113815388707e-86	177
MANNO_MIDBRAIN_NEUROTYPES_HRGL1	2.02192508230105e-85	249
GAO_LARGE_INTESTINE_24W_C1_DCLK1POS_PROGENITOR	5.82679713847668e-83	88
MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	6.29305630945602e-76	423
MANNO_MIDBRAIN_NEUROTYPES_HDA1	1.35442860861582e-66	387
AIZARANI_LIVER_C21_STELLATE_CELLS_1	5.24744440293668e-66	179
MANNO_MIDBRAIN_NEUROTYPES_HSERT	1.98532596736722e-65	282
MANNO_MIDBRAIN_NEUROTYPES_HDA	8.96233989524197e-61	327
MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	5.52934918418567e-59	458
CUI_DEVELOPING_HEART_ENDOCARDIAL_CELL	3.62919218439439e-57	50
CUI_DEVELOPING_HEART_VASCULAR_ENDOTHELIAL_CELL	4.98578037169519e-54	167
AIZARANI_LIVER_C17_HEPATOCYTES_3	3.90396841909958e-53	48
ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	3.06810932498984e-49	267
GAO_LARGE_INTESTINE_ADULT_CA_ENTEROENDOCRINE_CELLS	8.42024265285605e-49	180
MURARO_PANCREAS_DELTA_CELL	1.24947635819938e-46	186
MANNO_MIDBRAIN_NEUROTYPES_HDA2	2.67684274049392e-46	327
AIZARANI_LIVER_C14_HEPATOCYTES_2	2.80048246533556e-46	117
MENON_FETAL_KIDNEY_3_STROMAL_CELLS	3.61467532763273e-46	68
MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	4.41232063576e-45	307
MANNO_MIDBRAIN_NEUROTYPES_HPROGM	1.05872101619797e-43	222
GAO_LARGE_INTESTINE_ADULT_CI_MESENCHYMAL_CELLS	3.81351252404915e-42	261
MURARO_PANCREAS_PANCREATIC_POLYPEPTIDE_CELL	5.22232510445832e-41	103
MANNO_MIDBRAIN_NEUROTYPES_HNBML1	2.35492395576448e-39	193
AIZARANI_LIVER_C11_HEPATOCYTES_1	3.37420100209687e-39	172
GAO_SMALL_INTESTINE_24W_C2_PROCRPOS_PROGENITOR	3.46237563555385e-39	21
AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	2.84630774617783e-37	169
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	2.25296048903322e-35	97
MANNO_MIDBRAIN_NEUROTYPES_HOPC	8.93534430176203e-35	245
CUI_DEVELOPING_HEART_5TH_WEEK_VENTRICULAR_CARDIOMYOCYTE	2.64379755517112e-34	63
ZHONG_PFC_C9_ORG_OTHER	2.98504172590829e-33	70
FAN_EMBRYONIC_CTX_BRAIN_MYELOID	1.04899355362067e-32	99
FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	2.46874028071915e-32	117
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS	4.87445644425786e-32	86
ZHONG_PFC_MAJOR_TYPES_OPC	3.25576195960111e-31	70
FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA	3.22805622024597e-30	325
MANNO_MIDBRAIN_NEUROTYPES_HOMTN	5.43526730995987e-30	234
CUI_DEVELOPING_HEART_C7_MAST_CELL	2.78293328734066e-29	131
MURARO_PANCREAS_ALPHA_CELL	3.35745245760379e-28	426
AIZARANI_LIVER_C4_EPCAM_POS_BILE_DUCT_CELLS_1	4.06277611804507e-28	146
MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	4.14478190074667e-28	226
MANNO_MIDBRAIN_NEUROTYPES_HNBML5	5.07994107871237e-28	296
GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL	8.5797018572656e-28	255
